epoch,depth,error,transit
2457920.42500,0.25027,0.00136,0
2457920.42668,0.24401,0.00151,0
2457920.42812,0.24949,0.00115,0
2457920.42957,0.24237,0.00135,0
2457920.43101,0.24186,0.00218,0
2457920.43245,0.23751,0.00297,0
2457920.43389,0.23830,0.00332,0
2457920.43534,0.24362,0.00190,0
2457920.43678,0.24084,0.00134,0
2457920.43822,0.23909,0.00131,0
2457920.43966,0.24673,0.00137,0
2457920.44111,0.24543,0.00129,0
2457920.44255,0.25555,0.00125,1
2457920.44399,0.26049,0.00125,1
2457920.44543,0.26211,0.00143,1
2457920.44688,0.26155,0.00130,1
2457920.44832,0.26832,0.00110,1
2457920.44976,0.27169,0.00124,1
2457920.45120,0.27601,0.00182,1
2457920.45265,0.27383,0.00191,1
2457920.45409,0.27115,0.00222,1
2457920.45553,0.27269,0.00189,1
2457920.45697,0.27111,0.00155,1
2457920.45842,0.27561,0.00161,1
2457920.45986,0.27680,0.00154,1
2457920.46130,0.27173,0.00154,1
2457920.46274,0.27787,0.00151,1
2457920.46419,0.27835,0.00154,1
2457920.46563,0.27950,0.00153,1
2457920.46707,0.27936,0.00143,1
2457920.46851,0.28034,0.00132,1
2457920.46996,0.27958,0.00142,1
2457920.47140,0.27970,0.00139,1
2457920.47284,0.28169,0.00157,1
2457920.47428,0.28145,0.00151,1
2457920.47573,0.28077,0.00127,1
2457920.47717,0.28156,0.00117,1
2457920.47861,0.28340,0.00113,1
2457920.48005,0.28294,0.00114,1
2457920.48150,0.28308,0.00116,1
2457920.48294,0.28434,0.00123,1
2457920.48438,0.27813,0.00132,1
2457920.48582,0.27785,0.00144,1
2457920.48727,0.27834,0.00160,1
2457920.48871,0.27832,0.00166,1
2457920.49015,0.27750,0.00177,1
2457920.49159,0.27634,0.00184,1
2457920.49304,0.27935,0.00184,1
2457920.49448,0.27560,0.00194,1
2457920.49737,0.28189,0.00207,1
2457920.49881,0.28099,0.00229,1
2457920.50025,0.27871,0.00205,1
2457920.50169,0.28471,0.00234,1
2457920.50313,0.28277,0.00241,1
2457920.50458,0.28359,0.00242,1
2457920.50602,0.28112,0.00230,1
2457920.50746,0.28004,0.00221,1
2457920.50890,0.27982,0.00186,1
2457920.51035,0.28207,0.00180,1
2457920.51179,0.27791,0.00175,1
2457920.51323,0.28037,0.00175,1
2457920.51467,0.27742,0.00167,1
2457920.51612,0.27908,0.00177,1
2457920.51756,0.27735,0.00179,1
2457920.51900,0.27232,0.00187,1
2457920.52044,0.26956,0.00185,1
2457920.52189,0.26437,0.00186,1
2457920.52333,0.26076,0.00177,1
2457920.52477,0.25452,0.00175,1
2457920.52621,0.25482,0.00172,1
2457920.52765,0.25140,0.00164,1
2457920.52910,0.25179,0.00183,1
2457920.53054,0.24799,0.00173,0
2457920.53198,0.24918,0.00157,0
2457920.53342,0.24504,0.00151,0
2457920.53487,0.24441,0.00153,0
2457920.53631,0.24834,0.00153,0
2457920.53775,0.24393,0.00160,0
2457920.53919,0.24461,0.00166,0
2457920.54064,0.24682,0.00175,0
2457920.54208,0.24636,0.00189,0
